#0. Enu
#1. Fluence without energy resolution using Evis = Enu - 0.78
#2. Fluence with energy resolution using Evis = Enu - 0.78
#3. Fluence with energy resolution using Evis = Enu - 0.78 -EvEe/mp
#4. Fluence with energy resolution using Evis = Enu - 0.78 -EvEe/mp and correction of quenching effect
#
2.52 390278125074.0 388225515216.0 388216032658.0 388635667240.0
2.53 383368000099.0 381373711896.0 381364436527.0 381771393416.0
2.54 376646492754.0 374708740432.0 374699665737.0 375094409897.0
2.55 370107126942.0 368223619854.0 368214739582.0 368597713626.0
2.56 363743156604.0 361911703803.0 361903011959.0 362274636955.0
2.57 357547898949.0 355766660828.0 355758151655.0 356118827816.0
2.58 351515252072.0 349782456055.0 349774124023.0 350124231252.0
2.59 345639394968.0 343953334130.0 343945173929.0 344285072202.0
2.6 339915002407.0 338273803332.0 338265809858.0 338595839437.0
2.61 334336300314.0 332738620760.0 332730789106.0 333051270576.0
2.62 328898674408.0 327342778510.0 327335103958.0 327646338114.0
2.63 323597050259.0 322081490764.0 322073968774.0 322376236400.0
2.64 318426795863.0 316950181726.0 316942807929.0 317236369535.0
2.65 313383479777.0 311944474331.0 311937244520.0 312222340136.0
2.66 308462860562.0 307060179680.0 307053089804.0 307329938948.0
2.67 303660876879.0 302293287140.0 302286333296.0 302555135264.0
2.68 298973638202.0 297639955063.0 297633133489.0 297894068122.0
2.69 294397416081.0 293096502076.0 293089809145.0 293343038233.0
2.7 289928468173.0 288659398908.0 288652831123.0 288898500595.0
2.71 285563706621.0 284325260705.0 284318814694.0 284557057719.0
2.72 281299668939.0 280090839816.0 280084512322.0 280315453401.0
2.73 277133044401.0 275953018993.0 275946806873.0 276170566942.0
2.74 273061112243.0 271908805002.0 271902705222.0 272119407743.0
2.75 269080657775.0 267955322599.0 267949332229.0 268159110151.0
2.76 265189035388.0 264089808857.0 264083925065.0 264286928499.0
2.77 261383554642.0 260309607810.0 260303827860.0 260500232237.0
2.78 257661628450.0 256612165409.0 256606486657.0 256796501096.0
2.79 254020768263.0 252995024752.0 252989444642.0 253173320247.0
2.8 250458579509.0 249455821583.0 249450337641.0 249628375420.0
2.81 246972757290.0 245992280034.0 245986889870.0 246159447992.0
2.82 243560963907.0 242602208605.0 242596909905.0 242764381113.0
2.83 240221301820.0 239283496352.0 239278286876.0 239441005675.0
2.84 236951477763.0 236034109286.0 236028986866.0 236187222151.0
2.85 233749734021.0 232852086957.0 232847049494.0 233001018684.0
2.86 230613935782.0 229735539223.0 229730584683.0 229880465717.0
2.87 227542349553.0 226682643176.0 226677769591.0 226823710907.0
2.88 224533195082.0 223691640242.0 223686845703.0 223828974336.0
2.89 221584852611.0 220760833415.0 220756116072.0 220894544067.0
2.9 218695465690.0 217888584636.0 217883942695.0 218018772034.0
2.91 215863534332.0 215073312309.0 215068744031.0 215200070282.0
2.92 213087512837.0 212313488930.0 212308992628.0 212436907541.0
2.93 210365908128.0 209607638844.0 209603212880.0 209727806128.0
2.94 207697363682.0 206954336104.0 206949978891.0 207071339138.0
2.95 205080310912.0 204352202439.0 204347912435.0 204466127909.0
2.96 202513572180.0 201799905318.0 201795681025.0 201910839723.0
2.97 199995678487.0 199296156106.0 199291996072.0 199404185718.0
2.98 197525531137.0 196839708311.0 196835611124.0 196944918982.0
2.99 195101829016.0 194429355909.0 194425320199.0 194531832796.0
3.0 192723392296.0 192063931755.0 192059956188.0 192163759013.0
3.01 190389079041.0 189742306054.0 189738389336.0 189839566540.0
3.02 188097854342.0 187463384920.0 187459525794.0 187558159919.0
3.03 185848573713.0 185226108987.0 185222306229.0 185318477985.0
3.04 183640200456.0 183029452090.0 183025704511.0 183119492589.0
