1.0 6.62343167107e+60
1.5 9.06409550994e+59
2.0 3.70788140868e+59
2.5 2.24714206379e+59
3.0 1.62707535872e+59
3.5 1.29352931157e+59
4.0 1.08630109152e+59
4.5 9.44837711673e+58
5.0 8.41831081299e+58
5.5 7.63309777336e+58
6.0 7.01417797642e+58
6.5 6.5140635053e+58
7.0 6.10239067118e+58
7.5 5.75886405931e+58
8.0 5.46941686231e+58
8.5 5.22399067664e+58
9.0 5.01518783549e+58
9.5 4.8374226717e+58
10.0 4.68637244737e+58
10.5 4.55861506e+58
11.0 4.45138615154e+58
11.5 4.36241378836e+58
12.0 4.28980405497e+58
12.5 4.23196032573e+58
13.0 4.18752499649e+58
13.5 4.15533635726e+58
14.0 4.13439582418e+58
14.5 4.1238423989e+58
15.0 4.12293229205e+58
