1.69 0.0 0.0 0.0
1.7 0.0 0.0 0.0
1.71 0.0 0.0 0.0
1.72 0.0 0.0 0.0
1.73 0.0 0.0 0.0
1.74 0.0 0.0 0.0
1.75 0.0 0.0 0.0
1.76 0.0 0.0 0.0
1.77 0.0 0.0 0.0
1.78 0.0 0.0 0.0
1.79 0.0 0.0 0.0
1.8 0.0 0.0 0.0
1.81 3.6928489138e-08 1.55941616758e-09 2.88643723193e-10
1.82 7.19254397123e-08 3.04069754081e-09 5.6304114331e-10
1.83 9.74506643771e-08 4.1244475174e-09 7.64011055882e-10
1.84 1.19863934732e-07 5.07864163438e-09 9.41119226898e-10
1.85 1.40819958966e-07 5.97312050253e-09 1.10729071936e-09
1.86 1.61026996067e-07 6.83775820265e-09 1.26805332894e-09
1.87 1.8086518554e-07 7.68861242953e-09 1.42637997542e-09
1.88 2.00565775828e-07 8.53547546412e-09 1.58408526693e-09
1.89 2.20282345577e-07 9.38487377461e-09 1.74238021985e-09
1.9 2.40122433249e-07 1.02413989392e-08 1.90211831195e-09
1.91 2.60166150059e-07 1.11084916406e-08 2.06394047355e-09
1.92 2.8047442746e-07 1.19887878085e-08 2.22833902374e-09
1.93 3.01096033896e-07 1.28844144044e-08 2.39571238793e-09
1.94 3.21985340111e-07 1.37930303586e-08 2.56560298834e-09
1.95 3.43249713639e-07 1.47196518642e-08 2.73896892105e-09
1.96 3.6491678049e-07 1.56655183013e-08 2.91604469865e-09
1.97 3.87010739097e-07 1.66317268733e-08 3.09703870192e-09
1.98 4.09553019554e-07 1.76192601902e-08 3.28213826982e-09
1.99 4.32562284547e-07 1.86289856807e-08 3.47150955093e-09
2.0 4.56055843758e-07 1.96617159416e-08 3.66530871457e-09
2.01 4.80049439966e-07 2.07181992008e-08 3.86368015373e-09
2.02 5.04557456937e-07 2.17991279435e-08 4.06675807249e-09
2.03 5.29593573106e-07 2.29051668766e-08 4.27467168588e-09
2.04 5.55042190951e-07 2.40306855049e-08 4.48633343506e-09
2.05 5.81031876552e-07 2.51819420138e-08 4.7029534494e-09
2.06 6.07573460603e-07 2.6359480133e-08 4.92463855112e-09
2.07 6.34677790929e-07 2.75638463189e-08 5.15149621975e-09
2.08 6.62354978385e-07 2.87955569765e-08 5.38362846483e-09
2.09 6.90614665308e-07 3.0055109978e-08 5.62113397018e-09
2.1 7.19466459311e-07 3.13430034575e-08 5.86411160403e-09
2.11 7.48919468383e-07 3.26597155303e-08 6.11265662345e-09
2.12 7.78982741276e-07 3.40057234069e-08 6.36686424629e-09
2.13 8.09665106528e-07 3.53814963468e-08 6.62682833111e-09
2.14 8.4077604005e-07 3.67776157576e-08 6.89071986097e-09
2.15 8.72508061478e-07 3.82036375312e-08 7.16039810857e-09
2.16 9.04869495376e-07 3.96600074178e-08 7.43595246851e-09
2.17 9.37867933594e-07 4.11471404586e-08 7.71746668918e-09
2.18 9.71510851234e-07 4.26654478781e-08 8.00502390821e-09
2.19 1.005805763e-06 4.42153439312e-08 8.29870793628e-09
2.2 1.04076022302e-06 4.57972459054e-08 8.59860325837e-09
2.21 1.07638166059e-06 4.74115668919e-08 8.90479367695e-09
