1.0 6.01351519521e+60
1.5 8.78640707168e+59
2.0 3.63549010785e+59
2.5 2.22104673424e+59
3.0 1.63477237435e+59
3.5 1.3413858933e+59
4.0 1.18347865577e+59
4.5 1.09994510464e+59
5.0 1.0625445546e+59
5.5 1.05670646277e+59
6.0 1.07437340841e+59
6.5 1.11090315572e+59
7.0 1.16357701604e+59
7.5 1.23082316351e+59
8.0 1.31178709817e+59
8.5 1.40608226853e+59
9.0 1.51363928949e+59
9.5 1.63461154228e+59
10.0 1.76931424786e+59
10.5 1.91818407135e+59
11.0 2.08175168802e+59
11.5 2.26062274527e+59
12.0 2.45546439125e+59
12.5 2.66699557289e+59
13.0 2.89597993589e+59
13.5 3.1432205529e+59
14.0 3.40955595735e+59
14.5 3.69585712367e+59
15.0 4.00302514342e+59
