080707  08:27:53 27.1 5.2  Swift 1.23
080607  06:07:27 79   240  Swift 3.036
080605  23:47:57 20   133  Swift 1.6398
080604  07:27:01 82   8.0  Swift 1.416
080603B 19:38:13 60   24   Swift 2.69
080520  22:20:24 2.8  0.55 Swift 1.545
080516  00:17:07 5.8  2.6  Swift 3.2
080430  19:53:02 16.2 12   Swift 0.767
080413B 08:51:12 8.0  32   Swift 1.10
080413A 02:54:19 46   35   Swift 2.433  
080411  21:15:32 56  264   Swift 1.03
080330  03:41:16 61  3.4   Swift 1.51
080319C 12:25:56 34   36   Swift 1.95
080319B 06:12:49 50  810   Swift 0.937
080310  08:37:58 365  23   Swift 2.4266
080210  07:50:05  45  18   Swift 2.641
080207  21:30:21 340  61   Swift 2.0858
080129  06:06:45 80    0   Swift 4.349
071122  01:23:25 68.7 5.8  Swift 1.14
071117  14:50:06 6.6  24   Swift 1.331
071112C 18:32:57 15   30   Swift 0.8230
071031  01:06:36 180  9.0  Swift 2.692
071028B 02:43:46 55   2.5  Swift 0.94
071021  09:41:33 255  13   Swift 2.4520   
071020  07:02:26 4.2  23   Swift 2.142
071010B 20:45:47 35.7  44  Swift 0.947
071010  03:41:12  6    2   Swift 0.98
071003  07:40:55 150  83   Swift 1.10  
070810  02:11:52 11.0 6.9  Swift 2.17
070802  07:07:25 16.4 2.8  Swift 2.45
070721B 10:33:48 340  36   Swift 3.626
070714B 04:59:29 74   7.2  Swift 0.93
070612  02:38:46 368.8 106 Swift 0.617
070611  01:57:14 12.2 3.91 Swift 2.04
070529  12:48:28 109.2 25.7 Swift 2.4996
070521  06:51:11 37.9 80.1 Swift 0.553
070508  04:18:18 20.9 196  Swift 0.82  
070506  05:35:58 4.3  2.1  Swift 2.31
070419  09:59:26 115.6 5.58 Swift 0.97
070411  20:12:33 121.5 27.0 Swift 2.954
070318  07:28:56 74.6 24.8  Swift 0.836
070306  16:41:28 209.5 53.8 Swift 1.497
070208  09:10:34 47.7 4.45 Swift 1.165
070129  23:35:10 460.6 29.8 Swift 2.3384
070110  07:22:42 88.4 16.2 Swift 2.352
070103  20:46:39 18.6 3.38 Swift 2.6208
061222B 04:11:02 40 22.4   Swift 3.355
061222A 03:28:52 71.4 79.9 Swift 2.088
061210  12:20:39 85.3 11.1 Swift 0.41
061121  15:22:29 81.3 137 Swift 1.314
061110B 21:58:46 134 13.3 Swift 3.44
061110A 11:47:21 40.7 10.6 Swift 0.758
061021  15:39:08 46.2 29.6 Swift 0.3463
061007  10:08:09 75.3 444 Swift 1.261
060927  14:07:35 22.5 11.3 Swift 5.6
060926  16:48:42 8.0 2.19 Swift 3.208
060912A 13:55:54 5.0 13.5 Swift 0.937
060908  08:57:22 19.3 28 Swift 1.8836
060906  08:32:47 43.5 22.1 Swift 3.685
060904B 02:31:04 171.5 16.2 Swift 0.703
060814  23:02:19 145.3 146 Swift 0.84
