1619 0 
1931 0 
2448 0 
2695 0 
2985 0 
3079 0 
3188 5 
3190 5 
3422 0 
3555 0 
3736 0 
3868 0 
3873 0 
4025 0 
4377 0 
4462 5 
4512 0 
4563 0 
4580 0 
5061 0 
5333 0 
5380 0 
5380 0 
5407 5 
5408 5 
5547 0 
5928 0 
5936 0 
6280 5 
6306 0 
6444 0 
6471 0 
6723 0 
7040 0 
7074 0 
7086 0 
7168 0 
7177 6 
7207 9 
7567 0 
7680 0 
7914 0 
8074 9 
8214 0 
8253 0 
8297 0 
8304 0 
8674 0 
9204 0 
9236 0 
9316 0 
9327 0 
9712 0 
9863 9 
10375 0 
10385 5 
10668 0 
11010 0 
11107 0 
11125 0 
11317 0 
11648 0 
11928 0 
11947 0 
